ID ERSAdeg ERSArel
01102903 UN NA 
01102902 UN NA 
01102901 UN NA 
01102900 UN NA 
29600446 UN NA 
06430655 3rd CO 
06430652 3rd CO 
01372284 UN NA 
22330551 UN NA 
06430659 3rd CO 
06420845 UN NA 
00105153 UN NA 
31080733 UN NA 
06420840 UN NA 
06420843 UN NA 
06420842 UN NA 
01605183 UN NA 
29470333 UN NA 
29470330 UN NA 
29470337 UN NA 
00672188 UN NA 
29833056 UN NA 
29833055 UN NA 
29833054 4th NA 
01373013 UN NA 
23005266 3rd CO 
01373011 UN NA 
29833050 UN NA 
00672180 UN NA 
00672181 UN NA 
00672182 UN NA 
30300487 UN NA 
00672184 UN NA 
00672185 UN NA 
30300482 UN NA 
00672187 UN NA 
03120429 UN NA 
01170378 UN NA 
01170379 UN NA 
01230964 UN NA 
01230965 UN NA 
03120421 UN NA 
01170376 3rd CO 
01170370 UN NA 
01170372 UN NA 
01170373 UN NA 
22143009 UN NA 
22143008 UN NA 
22143003 UN NA 
22143002 UN NA 
22143001 UN NA 
22143000 UN NA 
22143007 UN NA 
22143006 UN NA 
22143005 UN NA 
11933060 UN NA 
11933061 UN NA 
11933065 UN NA 
11933066 UN NA 
11933069 UN NA 
07750992 UN NA 
07750993 UN NA 
00692957 UN NA 
00692951 UN NA 
00692950 UN NA 
00692952 UN NA 
07750999 UN NA 
00692959 UN NA 
00692958 UN NA 
07470816 UN NA 
07470812 UN NA 
10283098 UN NA 
04540992 UN NA 
22632947 UN NA 
22632943 UN NA 
31080402 UN NA 
22322279 UN NA 
22322276 UN NA 
22322275 UN NA 
22322274 UN NA 
00762167 UN NA 
22322272 UN NA 
22322271 UN NA 
22632948 UN NA 
10283092 UN NA 
10283090 UN NA 
29410396 UN NA 
29250361 UN NA 
21010312 UN NA 
21010313 UN NA 
22830855 UN NA 
21010316 UN NA 
21010317 UN NA 
21010315 UN NA 
22670421 UN NA 
21010318 UN NA 
30965087 2nd AV 
04020644 UN NA 
29410391 UN NA 
21680518 UN NA 
00080012 UN NA 
00290500 UN NA 
00080010 UN NA 
