         PAIR_ID  YOUNGER    OLDER  REL      PROB       HSR     N        AV        GP       MHS       PHS  AV_ERROR
  HMB071_HMB2951  HMB2951   HMB071  PHS  0.973941  0.993199  53.0  0.025816  0.000243  0.000000  0.973941     False
   HMB077_HMB126   HMB126   HMB077  PHS  0.873198  0.867127  42.0  0.088338  0.000000  0.038465  0.873198     False
   HMB085_HMB168   HMB168   HMB085  MHS  0.717051  0.938180  63.0  0.275812  0.000000  0.717051  0.007137     False
   HMB080_HMB378   HMB080   HMB378  PHS  0.999748  0.948109  37.0  0.000252  0.000000  0.000000  0.999748     False
   HMB078_HMB659   HMB659   HMB078   AV  0.955734  0.840275  53.0  0.955734  0.030240  0.000000  0.014026     False
  HMB082_HMB1043  HMB1043   HMB082   GP  0.924436  0.823725  41.0  0.029498  0.924436  0.000000  0.046066     False
  HMB082_HMB1045  HMB1045   HMB082   GP  0.939596  0.779010  41.0  0.060404  0.939596  0.000000  0.000000     False
  HMB082_HMB1074  HMB1074   HMB082   GP  0.745809  0.853803  30.0  0.000200  0.745809  0.000000  0.253991     False
  HMB082_HMB1075  HMB1075   HMB082  PHS  0.834332  0.906737  45.0  0.043736  0.121932  0.000000  0.834332     False
  HMB078_HMB2957  HMB2957   HMB078   GP  0.738512  0.855372  43.0  0.061308  0.738512  0.000000  0.200180     False
  HMB078_HMB2958  HMB2958   HMB078  PHS  0.545918  0.882074  44.0  0.065027  0.389055  0.000000  0.545918     False
  HMB081_HMB2952  HMB2952   HMB081  PHS  0.892881  0.930284  49.0  0.090505  0.016614  0.000000  0.892881     False
  HMB082_HMB2954  HMB2954   HMB082   GP  0.993898  0.807268  36.0  0.006102  0.993898  0.000000  0.000000     False
  HMB085_HMB2999  HMB2999   HMB085   GP  0.947262  0.815312  42.0  0.052738  0.947262  0.000000  0.000000     False
  HMB082_HMB3017  HMB3017   HMB082   GP  0.867190  0.847867  39.0  0.008330  0.867190  0.000000  0.124480     False
  HMB082_HMB3123  HMB3123   HMB082   GP  0.719629  0.750632  45.0  0.280371  0.719629  0.000000  0.000000     False
  HMB078_HMB5153  HMB5153   HMB078   GP  0.935828  0.813788  41.0  0.033536  0.935828  0.000000  0.030635     False
   HMB088_HMB122   HMB088   HMB122  PHS  0.999974  0.995287  35.0  0.000026  0.000000  0.000000  0.999974     False
   HMB092_HMB421   HMB092   HMB421   AV  0.543416  0.789751  48.0  0.543416  0.456584  0.000000  0.000000     False
   HMB095_HMB411   HMB411   HMB095  MHS  0.794137  0.960352  63.0  0.191867  0.000000  0.794137  0.013996     False
   HMB088_HMB678   HMB088   HMB678  PHS  0.998283  0.911731  38.0  0.001717  0.000000  0.000000  0.998283     False
   HMB094_HMB834   HMB834   HMB094   GP  0.941888  0.787480  31.0  0.002011  0.941888  0.000000  0.056101     False
   HMB088_HMB941   HMB941   HMB088  PHS  0.980919  0.926092  45.0  0.019081  0.000000  0.000000  0.980919     False
  HMB095_HMB1038  HMB1038   HMB095   GP  0.976448  0.712840  31.0  0.015814  0.976448  0.000000  0.007738     False
  HMB094_HMB1078  HMB1078   HMB094   GP  0.917141  0.809215  32.0  0.001487  0.917141  0.000000  0.081372     False
  HMB095_HMB2096  HMB2096   HMB095   GP  0.953838  0.730833  24.0  0.001146  0.953838  0.000000  0.045016     False
  HMB095_HMB2178  HMB2178   HMB095  MHS  0.735960  0.975917  52.0  0.010054  0.000000  0.735960  0.253985     False
  HMB092_HMB2279  HMB2279   HMB092  MHS  0.751375  0.965413  65.0  0.248625  0.000000  0.751375  0.000000     False
  HMB088_HMB3083  HMB3083   HMB088  PHS  0.999835  0.949606  36.0  0.000165  0.000000  0.000000  0.999835     False
  HMB088_HMB3087  HMB3087   HMB088   AV  1.000000  0.980103  49.0  1.000000  0.000000  0.000000  0.000000      True
   HMB098_HMB494   HMB098   HMB494   AV  0.920353  0.850281  52.0  0.920353  0.046103  0.000000  0.033545     False
   HMB100_HMB677   HMB100   HMB677  PHS  0.996059  0.912537  40.0  0.003941  0.000000  0.000000  0.996059     False
  HMB102_HMB2198  HMB2198   HMB102  PHS  0.999328  0.962200  41.0  0.000672  0.000000  0.000000  0.999328     False
  HMB102_HMB2201  HMB2201   HMB102  PHS  0.999582  0.974327  41.0  0.000418  0.000000  0.000000  0.999582     False
  HMB102_HMB2232  HMB2232   HMB102  PHS  0.999678  0.931935  36.0  0.000322  0.000000  0.000000  0.999678     False
  HMB102_HMB3102  HMB3102   HMB102  PHS  0.978775  0.860266  38.0  0.021225  0.000000  0.000000  0.978775     False
  HMB116_HMB2097  HMB2097   HMB116   AV  0.944534  0.806827  46.0  0.944534  0.000000  0.000000  0.055466      True
   HMB128_HMB333   HMB333   HMB128  MHS  0.995319  0.995294  50.0  0.004681  0.000000  0.995319  0.000000     False
   HMB122_HMB678   HMB122   HMB678  PHS  0.930474  0.863826  41.0  0.069526  0.000000  0.000000  0.930474     False
   HMB122_HMB937   HMB937   HMB122  PHS  0.998349  0.978919  45.0  0.001651  0.000000  0.000000  0.998349     False
