               PAIR_ID        IID1        H1        IID2        H2       HSR   N
  SampleAA5_SampleAC10   SampleAA5  0.758244  SampleAC10  0.870355  0.871189  17
   SampleAA5_SampleAD0   SampleAA5  0.923404   SampleAD0  0.804256  0.870969  22
   SampleAA5_SampleAD1   SampleAA5  0.853071   SampleAD1  0.751779  0.881262  19
   SampleAA5_SampleAD2   SampleAA5  0.907410   SampleAD2  0.904459  0.996748  17
   SampleAA5_SampleAD3   SampleAA5  0.848750   SampleAD3  0.676177  0.796674  30
   SampleAA5_SampleAD4   SampleAA5  0.868164   SampleAD4  0.966791  0.897985  15
   SampleAA5_SampleAD5   SampleAA5  0.848856   SampleAD5  0.902387  0.940679  20
   SampleAA5_SampleAD6   SampleAA5  0.829898   SampleAD6  0.789885  0.951785  23
  SampleAA6_SampleAC10   SampleAA6  0.846158  SampleAC10  0.729328  0.861929  16
   SampleAA6_SampleAD0   SampleAA6  0.928988   SampleAD0  0.754358  0.812022  16
   SampleAA6_SampleAD1   SampleAA6  0.733629   SampleAD1  0.868894  0.844325  17
   SampleAA6_SampleAD2   SampleAA6  0.815292   SampleAD2  0.831012  0.981083  38
   SampleAA6_SampleAD3   SampleAA6  0.706504   SampleAD3  0.863174  0.818496  50
   SampleAA6_SampleAD4   SampleAA6  0.841815   SampleAD4  0.877033  0.959844  31
   SampleAA6_SampleAD5   SampleAA6  0.780126   SampleAD5  0.972622  0.802085  25
   SampleAA6_SampleAD6   SampleAA6  0.764436   SampleAD6  0.767186  0.996416  45
  SampleAA7_SampleAC10   SampleAA7  0.816396  SampleAC10  0.810869  0.993230  20
   SampleAA7_SampleAD0   SampleAA7  0.784988   SampleAD0  0.800270  0.980904  24
   SampleAA7_SampleAD1   SampleAA7  0.895513   SampleAD1  0.733805  0.819424  16
   SampleAA7_SampleAD2   SampleAA7  0.826127   SampleAD2  0.692849  0.838672  19
   SampleAA7_SampleAD3   SampleAA7  0.706868   SampleAD3  0.709161  0.996767  21
   SampleAA7_SampleAD4   SampleAA7  0.714083   SampleAD4  0.694978  0.973245  22
   SampleAA7_SampleAD5   SampleAA7  0.725501   SampleAD5  0.785967  0.923067  29
   SampleAA7_SampleAD6   SampleAA7  0.826099   SampleAD6  0.979981  0.842974  19
   SampleAA0_SampleAD7   SampleAA0  0.833004   SampleAD7  0.841646  0.989731  23
   SampleAA0_SampleAD8   SampleAA0  0.859198   SampleAD8  0.865585  0.992621  20
   SampleAA0_SampleAD9   SampleAA0  0.807720   SampleAD9  0.886108  0.911537  40
  SampleAA0_SampleAD10   SampleAA0  0.735735  SampleAD10  0.752111  0.978226  41
   SampleAA0_SampleAE0   SampleAA0  0.725778   SampleAE0  0.825516  0.879181  33
   SampleAA0_SampleAE1   SampleAA0  0.743364   SampleAE1  0.808649  0.919266  19
   SampleAA0_SampleAE2   SampleAA0  0.928488   SampleAE2  0.850727  0.916250  12
   SampleAA0_SampleAE3   SampleAA0  0.730357   SampleAE3  0.809785  0.901914  17
   SampleAA1_SampleAD7   SampleAA1  0.760381   SampleAD7  0.809347  0.939499  18
   SampleAA1_SampleAD8   SampleAA1  0.923553   SampleAD8  0.809492  0.876497  20
   SampleAA1_SampleAD9   SampleAA1  0.876350   SampleAD9  0.796992  0.909444  23
  SampleAA1_SampleAD10   SampleAA1  0.866727  SampleAD10  0.690597  0.796787  22
   SampleAA1_SampleAE0   SampleAA1  0.789181   SampleAE0  0.767436  0.972446  23
   SampleAA1_SampleAE1   SampleAA1  0.788750   SampleAE1  0.797452  0.989088  19
